City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,17.12,85,34,1.79,NZ,1707790846
1,puerto ayora,-0.7393,-90.3518,26.97,96,57,1.34,EC,1707790846
2,invercargill,-46.4,168.35,24.12,39,44,3.04,NZ,1707790846
3,longyearbyen,78.2186,15.6401,-11.09,73,0,1.03,SJ,1707790846
4,bethel,41.3712,-73.414,3.17,70,100,1.54,US,1707790759
5,orlov,58.5395,48.8917,-17.76,98,85,2.74,RU,1707790846
6,grytviken,-54.2811,-36.5092,3.85,96,100,2.49,GS,1707790846
7,adamstown,-25.066,-130.1015,24.98,90,100,6.71,PN,1707790846
8,klyuchi,52.2667,79.1667,-13.17,83,100,4.22,RU,1707790846
9,coxim,-18.5067,-54.76,25.55,78,63,1.69,BR,1707790847
10,sinabang,2.4803,96.3801,28.72,73,6,0.28,ID,1707790847
11,georgetown,5.4112,100.3354,29.97,60,20,3.6,MY,1707790847
12,hilo,19.7297,-155.09,26.27,78,75,3.09,US,1707790629
13,papatowai,-46.5619,169.4708,20.53,49,80,0.81,NZ,1707790847
14,lautoka,-17.6167,177.4667,30.92,79,75,5.14,FJ,1707790847
15,hawaiian paradise park,19.5933,-154.9731,24.85,76,75,3.09,US,1707790847
16,ormond-by-the-sea,29.3491,-81.0665,26.05,80,100,6.17,US,1707790847
17,saipan,15.1355,145.701,29.39,58,40,9.77,MP,1707790847
18,oistins,13.0667,-59.5333,27.05,78,40,8.75,BB,1707790847
19,albany,42.6001,-73.9662,2.23,69,100,2.13,US,1707790847
20,morant bay,17.8815,-76.4093,27.79,99,65,1.14,JM,1707790847
21,oltinko'l,40.8011,72.1634,5.74,64,100,2.36,UZ,1707790847
22,necochea,-38.5473,-58.7368,15.56,51,6,8.88,AR,1707790847
23,port-aux-francais,-49.35,70.2167,7.48,89,99,12.82,TF,1707790847
24,talnakh,69.4865,88.3972,-34.4,85,21,1.39,RU,1707790847
25,mejit,10.2753,170.8646,26.29,72,100,10.57,MH,1707790848
26,enewetak,11.3474,162.3373,26.52,77,98,9.85,MH,1707790848
27,alaghsas,17.0187,8.0168,21.55,10,0,4.94,NE,1707790848
28,dickinson,29.4608,-95.0513,13.32,58,0,3.6,US,1707790848
29,puerto natales,-51.7236,-72.4875,8.1,82,99,2.23,CL,1707790848
30,mawu,29.5923,107.3139,14.62,62,91,0.77,CN,1707790848
31,port elizabeth,-33.918,25.5701,20.73,87,0,7.2,ZA,1707790848
32,blackmans bay,-43.0167,147.3167,25.41,46,23,0.89,AU,1707790848
33,mora,11.0461,14.1401,22.84,12,0,2.51,CM,1707790848
34,villamontes,-21.25,-63.5,28.86,60,90,2.3,BO,1707790848
35,rikaze,29.25,88.8833,-1.14,20,54,0.94,CN,1707790848
36,stanley,54.868,-1.6985,4.01,80,40,9.26,GB,1707790848
37,ushuaia,-54.8,-68.3,9.81,71,0,0.51,AR,1707790848
38,pumiao,22.75,108.4833,19.22,90,100,4.46,CN,1707790569
39,pangai,-19.8,-174.35,30.06,79,75,3.6,TO,1707790848
40,vadso,70.0744,29.7487,-7.91,86,75,6.17,NO,1707790848
41,fale old settlement,-9.3852,-171.2468,27.81,83,100,8.67,TK,1707790849
42,rawlins,41.7911,-107.2387,-3.14,69,83,10.18,US,1707790821
43,borogontsy,62.6683,131.1683,-27.89,97,100,1.97,RU,1707790849
44,taber,49.8167,-112.1518,-0.89,67,100,4.63,CA,1707790612
45,aykhal,66.0,111.5,-33.97,98,100,2.77,RU,1707790849
46,yellowknife,62.456,-114.3525,-11.71,92,100,1.03,CA,1707790849
47,brockville,44.5834,-75.6826,0.14,84,92,0.4,CA,1707790849
48,vorgashor,67.5833,63.95,-37.42,100,40,1.99,RU,1707790849
49,atafu village,-8.5421,-172.5159,28.36,81,100,10.76,TK,1707790849
50,bilibino,68.0546,166.4372,-33.86,96,88,0.2,RU,1707790849
51,abepura,-2.6333,140.5833,30.45,62,87,1.54,ID,1707790849
52,olonkinbyen,70.9221,-8.7187,-1.81,97,100,10.63,SJ,1707790849
53,uddevalla,58.3478,11.9424,-1.67,92,100,2.06,SE,1707790849
54,tolanaro,-25.0319,46.9987,25.04,94,40,3.6,MG,1707790849
